107-93-7	25	4.71E+01
79-41-4	101	3.65E+01
3724-65-0	25	5.18E+01
107-93-7	20	6.35E+01
3068-88-0	18	3.70E+01
96-33-3	23	9.18E+01
108-05-4	25	1.83E+02
1838-59-1	25	1.46E+02
1468-37-7	25	4.83E+05
108-32-7	25	3.60E+01
110-15-6	25	7.32E+01
553-90-2	25	4.04E+01
87-69-4	20	4.14E+01
133-37-9	25	4.81E+01
2	25	4.95E+03
31849-78-2	25	4.95E+03
32620-08-9	25	7.63E+03
23074-36-4	25	3.81E+03
22037-73-6	25	1.29E+04
5162-44-7	25	9.82E+03
4784-77-4	25	1.25E+04
39616-19-8	25	1.22E+04
29576-14-5	25	1.22E+04
13294-71-8	25	5.58E+03
3017-68-3	25	4.86E+03
3017-71-8	25	7.67E+03
2	25	7.67E+03
2	25	7.67E+03
3017-69-4	25	6.33E+03
1458-98-6	25	7.75E+03
14299-55-9		2.16E+02
80-58-0		1.33E+02
4461-42-1	25	4.02E+03
7611-86-1	25	3.60E+03
7611-87-2	25	4.55E+03
2211-70-3	25	2.79E+03
563-52-0	25	3.69E+03
927-73-1	25	6.13E+03
591-97-9	25	5.03E+03
4628-21-1	25	1.03E+04
4894-61-5	25	1.08E+04
4461-41-0	25	3.79E+03
2211-69-0	25	4.26E+03
2211-68-9	25	3.44E+03
513-37-1	25	4.55E+03
563-47-3	20	1.01E+04
105-39-5	25	3.44E+02
17639-93-9	29.7	4.05E+02
62-73-7		1.24E+03
57-15-8	20	1.23E+03
109-74-0	25	1.13E+02
78-82-0	25	1.03E+02
110-67-8	50	2.53E+01
543-24-8	15	2.48E+02
82310-91-6	18	1.92E+02
617-45-8	25	9.10E+02
56-84-8	25	1.46E+03
142-73-4	5	3.13E+02
57229-74-0	18	1.07E+02
2	25	3.72E+01
60-27-5	16	7.95E+01
106-98-9	25	1.40E+04
115-11-7	25	1.00E+04
62168-25-6	25	8.08E+03
533-98-2	25	1.08E+04
107-80-2	25	1.45E+04
110-52-1	18	3.42E+04
50341-35-0	25	4.98E+03
5408-86-6	25	8.96E+03
598-71-0	25	8.81E+03
5780-13-2	25	7.88E+03
33693-78-6	25	5.52E+03
594-34-3	25	5.92E+03
28148-04-1	25	1.45E+04
541-33-3	25	1.41E+04
616-21-7	25	1.20E+04
1190-22-3	25	1.93E+04
110-56-5	18	1.09E+04
4279-22-5	25	4.12E+03
2211-67-8	20	1.25E+04
4028-56-2	20	1.25E+04
598-76-5	25	4.56E+03
594-37-6	25	5.05E+03
616-19-3	25	2.09E+04
7581-97-7	20	1.26E+04
111-44-4	20	7.87E+02
1431607	20	8.11E+02
471-03-4	20	1.77E+03
505-60-2	25	1.28E+04
52-68-6	25	9.38E+01
95-45-4	20	1.07E+04
110-14-5	15	1.44E+03
70-47-3	25.1	2.93E+02
556-50-3	25	4.07E+01
615-53-2	24	1.99E+02
77340-50-2	25	2.89E+02
30565-25-4	25	3.52E+02
140-79-4	24	1.39E+03
109-92-2	37	3.97E+02
123-72-8	50	3.86E+01
78-84-2	25	9.64E+00
78-93-3	25	2.93E+01
109-99-9	25	2.02E+01
6117-91-5	20	7.70E+01
4088-60-2	20	8.39E+01
504-61-0	20	7.56E+01
627-27-0	25	4.86E+01
598-32-3	25	1.88E+01
6118-14-5	25	1.88E+01
513-42-8	25	5.00E+01
107-92-6	100	3.40E+01
79-31-2	21.9	1.66E+01
110-74-7	25	1.77E+02
625-55-8	25	1.25E+01
141-78-6	25	6.47E+01
554-12-1	25	7.75E+01
